title,attack_type,attack_type_code,description,year,month,day,Africa,Asia,Australia,Europe,North America,South America,reference_title,reference_url
Unauthorized access at an IT identity management provider,Hacking,3,"Okta - San Francisco, California, USA (San Francisco County)",2023,10,1,0,0,0,0,1,0,Tracking Unauthorized Access to Okta's Support System,sec.okta.com
Password management affected by unauthorized access,Hacking,3,"AgileBits / 1Password - Toronto, Ontario, Canada",2023,10,1,0,0,0,0,1,0,Okta Support System incident and 1Password,blog.1password.com
Cyber incident at an internet company,Cyber incident,0,"Cloudflare - San Francisco, California, USA (San Francisco County)",2023,10,1,0,0,0,0,1,0,How Cloudflare mitigated yet another Okta compromise,blog.cloudflare.com
Cyber incident at a provider of IT access management solutions,Cyber incident,0,"BeyondTrust - Johns Creek, Georgia, USA (Fulton County)",2023,10,1,0,0,0,0,1,0,BeyondTrust Discovers Breach of Okta Support Unit,beyondtrust.com
Cyber attack on a cloud provider from France,Hacking,3,"Shadow PC - Paris, Île-de-France, France",2023,9,1,0,0,0,1,0,0,Shadow PC warns of data breach as hacker tries to sell gamers' info,bleepingcomputer.com
Unauthorized access at a Japanese electronics group,Hacking,3,"Sony - Tokyo, Japan",2023,9,1,0,1,0,0,0,0,Sony Confirms Data Stolen in Two Recent Hacker Attacks,securityweek.com
Unauthorized access at a online store in Trinidad and Tobago,Hacking,3,"Unicomer Group / Courts - Port of Spain, Trinidad and Tobago",2023,1,1,0,0,0,0,1,0,Cyber criminals hit Courts online platform,guardian.co.tt
DDoS attack on the website of a mass transit company in New Zealand,Ddos,2,"Auckland Transport - Auckland, New Zealand",2023,9,29,0,0,1,0,0,0,"Auckland Transport experiencing another cyberattack, likely related to previous",stuff.co.nz
"Cyber attack on a health department in Wisconsin, USA",Hacking,3,"Rock County Public Health Department - Janesville, Wisconsin, USA (Rock County)",2023,9,29,0,0,0,0,1,0,Wisconsin county dealing with ransomware attack on public health department,therecord.media
"Cyber attack on cardiology practices in Arizona, USA",Hacking,3,"Cardiovascular Consultants - Phoenix, Arizona, USA (Maricopa County)",2023,9,29,0,0,0,0,1,0,Form 6-K,sec.gov
"Cyber attack on a regulatory authority in New Mexico, USA",Hacking,3,"Office of Superintendent of Insurance - Santa Fe, New Mexico, USA (Santa Fe County)",2023,9,1,0,0,0,0,1,0,NM Office of Superintendent of Insurance confirms ‘cyber incident’,kob.com
Cyber attack on a city government in Germany,Hacking,3,"Stadt Essen - Essen, North Rhine-Westphalia, Germany",2023,9,28,0,0,0,1,0,0,Angriff auf IT im Konzern Stadt Essen konnte abgewehrt werden,essen.de
Cyber attack on the online store of a soccer club in Germany,Hacking,3,"1. FC Lokomotive Leipzig - Leipzig, Saxony, Germany",2023,9,28,0,0,0,1,0,0,Lok Leipzig: Cyberangriff auf Website – Fanshop vom Netz genommen,lvz.de
Security incident at the IT operator of a university in Germany,Cyber incident,0,"Gesellschaft für wissenschaftliche Datenverarbeitung - Göttingen, Lower Saxony, Germany (Landkreis Göttingen)",2023,9,28,0,0,0,1,0,0,Sicherheitsvorfall 28.9.2023 – Update 1 – Aufruf zur Passwortänderung,status.gwdg.de
Facebook page of a Chamber of Commerce and Industry in France hacked,Hacking,3,"Chambre de commerce et d’industrie du Territoire de Belfort - Belfort, Bourgogne-Franche-Comté, France",2023,9,28,0,0,0,1,0,0,Belfort : la chambre de commerce et d’industrie victime d’une cyberattaque,letrois.info
DDoS attack on a flight booking system in Russia,Ddos,2,Leonardo - Russia,2023,9,28,0,0,0,1,0,0,Russian flight booking system suffers ‘massive’ cyberattack,therecord.media
DDoS attack on the website of a mass transit company in Scotland,Ddos,2,"Edinburgh Trams - Edinburgh, Scotland, United Kingdom",2023,9,28,0,0,0,1,0,0,Edinburgh Trams website offline following 'cyber- attack',news.stv.tv
